H01|031201|2000000011|2021-02-28|LBASRJK|105|2|TEST-01-LBASRJK-4Net
D01|1400050100|Wells Fargo Bank|ID|104|31826081142|0|31826081142|0
D01|1400050100|Port of Singapore Authority Int. Lte|ID|104|56322358681|0|56322358681|0
D01|1400050100|Hong Kong Electric Finance|ID|104|58926664440|0|58926664440|0
D01|1400050100|China National Petroleum Corporation Overseas |ID|104|59313017520|0|59313017520|0
D01|1400050100|MTR Corporation |ID|104|26672206356|0|26672206356|0
D01|1400050100|CSCEC Finance Cayman|ID|104|57238817004|0|57238817004|0
D01|1400050100|China National Offshore Oil Corporation-Finance|ID|104|125141326560|0|125141326560|0
D01|1400050100|Caterpillar Inc|ID|104|36927101581|0|36927101581|0
D01|1400050100|ConocoPhillips Canada|ID|104|62158602370|0|62158602370|0
D01|1400050100|International Bank For Reconstruction and Dev|ID|104|26100728172|0|26100728172|0
D01|1400050100|Korea Development Bank|ID|104|28671800760|0|28671800760|0
D01|1400050100|Kowloon-Canton Railway Corporation|ID|104|36474109256|0|36474109256|0
D01|1400050100|Sun Hung Kai Properties Limited |ID|110|14620061043|0|14620061043|0
D01|1400050100|CITIC LTD|ID|110|33689409336|0|33689409336|0
D01|1400050100|Kunlun Energy Corporation Ltd|ID|110|43025078340|0|43025078340|0
D01|1400050100|Manulife GF American Growth|ID|110|0|0|0|4234816110
D01|1400050100|Manulife GF European Growth|ID|110|0|0|0|1627023761
D01|1400050100|Manulife GF Japanese Growth|ID|110|0|0|0|2853676833
D01|1400050100|Manulife GF US Special Opportunities|ID|110|0|0|0|1815211741
D01|1400050100|Manulife GF US Bond|ID|110|0|0|0|820032240
D01|1400050100|Manulife GF Asia Total Return|ID|110|0|0|0|2485439195
D01|1400050100|Manulife GF Greater China Opportunities|ID|110|0|0|0|4192406184
D01|1400050100|Japan Finance Organization|ID|107|29621059272|0|29621059272|0
D01|1400050100|Manulife Global  Fund - American I3|ID|107|870122076640|0|870122076640|0
D01|1400050200||||2179689702512|0|2179689702512|147078622575
